"CD","PER","FOL","ENT","CON","V_SEL","N_HOG","H_MUD","N_REN","P1_1","P1_2","P1_3","P1_4","P1_5","P2_1","P2_2","P2_3","P2_4","P2_5","P3_1_1","P3_1_2","P3_1_3","P3_1_4","P3_1_5","P3_1_6","P3_1_7","P3_1_8","P3_1_8ES","P3_1_9","P3_2_1","P3_2_2","P3_2_3","P3_2_4","P3_2_5","P3_2_6","P3_2_7","P3_2_8","P3_2_8ES","P3_2_9","P3_3_1","P3_3_2","P3_3_3","P3_3_4","P3_3_5","P3_3_6","P3_3_7","P3_3_8","P3_3_8ES","P3_3_9","P3_4_1","P3_4_2","P3_4_3","P3_4_4","P3_4_5","P3_4_6","P3_4_7","P3_4_8","P3_4_8ES","P3_4_9","P3_5_1","P3_5_2","P3_5_3","P3_5_4","P3_5_5","P3_5_6","P3_5_7","P3_5_8","P3_5_8ES","P3_5_9","P4_1","P4_2","P4_3","P4_4","P4_5","P5_1","P5_2","P5_3","P5_4","P5_5","P6_1","P6_2","P6_3","P6_4","P6_5","P7","P8_1","P8_2","P8_3","P8_4","P8_5","P9","P10","P11_1","P11_2","P11_3","P11_4","P11_5","FACTOR","EDAD","SEXO","NIVEL","ANIO"
"14","0916","11B143","01","40394","1","1","0","01",0,0,0,0,0,1,1,1,1,1,2,2,2,2,1,2,2,2,,2,2,2,1,2,2,1,2,2,,2,2,2,2,2,1,1,2,2,,2,2,2,2,2,2,1,2,2,,2,2,2,1,2,1,2,2,2,,2,0,150,0,30,20,3,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,5,1,2,2,2,1,1,22304,"54","2","03","2"
"14","0916","11A157","01","40417","3","1","0","01",0,1,0,0,2,1,1,1,1,1,2,2,2,2,2,1,2,2,,2,2,2,2,2,2,1,2,2,,2,2,2,2,2,2,1,2,2,,2,2,2,2,2,1,2,2,2,,2,2,2,1,2,2,2,2,2,,2,50,250,0,0,25,3,2,3,3,2,2,2,2,2,2,1,1,1,1,2,1,5,1,2,2,2,1,1,17844,"38","1","02","6"
"14","0916","11A157","01","40417","2","1","0","01",0,0,0,0,0,1,1,1,1,1,2,2,1,2,2,2,2,2,,2,2,2,2,1,2,2,2,2,,2,1,2,2,2,2,2,2,2,,2,2,2,2,2,2,1,2,2,,2,2,2,1,2,2,2,2,2,,2,50,200,100,50,30,3,2,2,3,2,2,2,2,2,2,1,2,2,2,2,1,5,1,2,2,1,1,1,15415,"60","2","06","3"
"14","0916","11A157","01","40417","1","1","0","05",0,4,0,0,6,1,1,1,1,1,1,2,2,2,2,2,1,2,,2,1,2,2,2,2,2,1,2,,2,2,2,1,2,2,1,2,2,,2,2,2,1,2,2,2,1,2,,2,2,2,1,2,1,2,1,2,,2,100,100,50,80,40,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,5,1,1,2,1,1,1,22755,"18","2","02","6"
"14","0916","11A157","01","40417","4","1","0","01",0,2,0,0,0,1,1,1,1,1,2,2,1,2,2,2,2,2,,2,2,2,1,2,2,2,2,2,,2,2,2,1,2,2,2,2,2,,2,2,2,2,2,2,1,2,2,,2,2,2,1,2,2,2,2,2,,2,80,300,100,0,30,2,2,2,3,2,2,2,2,2,2,1,2,2,1,1,1,5,1,2,2,1,1,1,15415,"63","2","03","3"
"21","0916","12A158","02","40133","3","1","0","01",1,0,0,0,10,1,1,1,1,1,1,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,2,2,,2,2,1,2,2,2,2,2,2,,2,2,1,1,2,2,2,2,2,,2,1,1,2,2,2,2,2,2,,2,400,500,0,0,400,2,2,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,5667,"38","1","03","3"
"21","0916","12A158","02","40133","4","1","0","02",0,0,0,0,0,1,1,1,1,1,2,2,2,2,1,1,2,2,,2,2,2,2,2,1,1,2,2,,2,2,2,2,2,1,1,2,2,,2,2,2,2,2,1,1,2,2,,2,2,2,2,2,1,1,2,2,,2,0,0,0,0,0,3,3,3,3,3,2,2,2,2,2,1,2,2,2,2,2,5,1,2,2,2,1,2,9790,"55","2","02","6"
"21","0916","12A158","02","40133","2","1","0","01",0,0,0,0,3,2,1,1,2,1,2,2,2,2,2,1,2,2,,2,2,1,2,2,2,1,2,2,,2,2,1,2,2,2,1,2,2,,2,2,2,2,2,2,1,2,2,,2,2,1,2,2,2,1,2,2,,2,100,200,50,0,100,3,2,4,4,2,2,1,1,1,2,1,1,2,1,2,2,5,1,2,2,1,1,1,5433,"28","1","03","1"
"21","0916","11B144","02","40136","2","1","1","01",0,0,0,0,0,2,2,2,2,1,2,1,2,2,2,2,2,2,,2,2,1,2,2,2,2,2,2,,2,2,1,2,2,2,2,2,2,,2,2,1,2,2,2,2,2,2,,2,2,1,2,2,2,2,2,2,,2,99999,99999,99999,99999,50,3,3,3,3,3,2,2,2,2,2,1,1,1,1,2,1,3,1,1,2,1,1,1,14836,"24","2","04","1"
"21","0916","11B144","02","40136","1","1","0","02",0,0,0,0,0,2,1,2,2,1,2,2,2,2,2,2,2,2,,1,2,2,2,1,2,2,2,2,,2,2,2,2,2,2,2,2,2,,1,2,2,2,2,2,2,2,2,,1,2,2,2,1,2,2,2,2,,2,0,0,0,0,50,4,4,4,4,3,2,2,2,2,2,1,2,2,2,2,2,5,1,2,2,2,2,2,11037,"39","2","02","6"
