cd,periodo,folio,entidad,control,viv_sel,num_hog,hog_mud,n_ren_ele,p1_1,p1_2,p1_3,p1_4,p1_5,p2_1,p2_2,p2_3,p2_4,p2_5,p3_1_1,p3_1_2,p3_1_3,p3_1_4,p3_1_5,p3_1_6,p3_1_7,p3_1_8,p3_1_8A,p3_1_9,p3_2_1,p3_2_2,p3_2_3,p3_2_4,p3_2_5,p3_2_6,p3_2_7,p3_2_8,p3_2_8A,p3_2_9,p3_3_1,p3_3_2,p3_3_3,p3_3_4,p3_3_5,p3_3_6,p3_3_7,p3_3_8,p3_3_8A,p3_3_9,p3_4_1,p3_4_2,p3_4_3,p3_4_4,p3_4_5,p3_4_6,p3_4_7,p3_4_8,p3_4_8A,p3_4_9,p3_5_1,p3_5_2,p3_5_3,p3_5_4,p3_5_5,p3_5_6,p3_5_7,p3_5_8,p3_5_8A,p3_5_9,p4_1,p4_2,p4_3,p4_4,p4_5,p5_1,p5_2,p5_3,p5_4,p5_5,p6_1,p6_2,p6_3,p6_4,p6_5,p7,p8_1,p8_2,p8_3,p8_4,p8_5,p9M,p9M_A,p10,p11_1,p11_2,p11_3,p11_4,p11_5,factor,edad,sexo,nivel,anio
27,0518,11B156,18,40019,4,1,0,02,0,0,0,0,0,1,1,1,2,1,2,2,1,2,2,2,2,2, ,2,2,2,2,2,2,1,1,2, ,2,2,2,1,2,2,1,2,2, ,2,2,2,2,2,2,2,2,2, ,1,2,2,1,1,2,2,1,2, ,2,0,100,0,0,50,4,1,2,4,1,2,2,2,2,1,1,2,2,2,2,2,2, ,1,1,2,2,1,2,12738,32,2,04,2
27,0518,11B156,18,40019,1,1,0,01,0,0,0,0,0,1,1,2,1,2,2,2,2,2,2,2,2,2, ,1,1,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2, ,1,1,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2, ,1,100,0,0,0,0,2,1,4,1,3,2,1,2,2,2,1,2,2,2,2,2,2, ,1,1,2,1,1,1,6840,87,1,02,5
27,0518,12A161,18,40057,2,1,0,02,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2, ,1,2,2,2,2,2,2,2,2, ,1,2,2,2,2,2,2,2,2, ,1,2,2,2,2,2,2,2,2, ,1,2,2,2,2,2,2,2,2, ,1,0,0,200,0,30,4,4,1,4,2,2,2,2,2,1,1,2,2,2,2,1,4, ,2,0,0,0,0,0,22549,45,2,04,3
27,0518,12A161,18,40057,3,1,0,01,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,1,2,2, ,2,2,2,2,2,2,1,2,2, ,2,2,2,2,2,1,1,2,2, ,2,2,2,2,2,1,1,2,2, ,2,2,2,2,2,1,1,2,2, ,2,0,0,0,0,50,4,4,4,4,1,1,1,1,2,2,1,1,1,1,1,1,2, ,1,1,2,2,1,1,13728,37,1,03,3
27,0518,12A161,18,40057,4,1,1,01,3,2,0,0,0,1,1,2,2,1,2,2,2,2,2,1,2,2, ,2,2,2,2,1,2,2,2,2, ,2,2,2,2,2,2,2,2,2, ,1,2,2,2,2,2,2,2,2, ,1,2,2,1,2,2,2,2,2, ,2,100,100,100,100,0,3,2,3,2,4,1,1,1,2,1,1,1,1,1,2,1,3, ,1,2,2,2,2,2,13728,37,1,04,3
27,0518,12A161,18,40057,1,1,1,02,0,3,0,0,10,1,1,2,1,1,2,2,2,1,2,2,2,2, ,2,2,2,2,1,2,2,2,2, ,2,2,2,2,2,2,2,2,2, ,1,2,2,2,1,2,2,2,2, ,2,2,2,2,1,2,2,2,2, ,2,100,200,0,200,30,3,2,4,3,1,2,2,2,2,1,1,1,1,1,1,1,4, ,1,1,1,2,1,1,12797,20,2,04,3
27,0518,12A172,18,40137,2,1,0,03,3,2,1,3,4,1,1,1,1,1,2,2,1,2,2,1,1,2, ,2,1,2,1,2,1,2,1,1,PERIFONEO,2,1,2,2,2,1,2,1,2, ,2,1,2,2,2,2,2,1,2, ,2,1,2,2,2,1,2,1,2, ,2,100,150,150,200,50,2,2,2,2,2,1,1,1,2,2,1,1,1,1,1,1,3, ,1,1,1,1,1,1,21629,26,1,07,5
27,0518,12A172,18,40137,1,1,0,01,0,0,0,0,0,1,1,1,1,1,2,2,2,2,1,1,2,2, ,2,2,2,2,2,2,1,2,2, ,2,2,2,2,2,2,1,2,2, ,2,2,2,2,2,2,1,2,2, ,2,1,2,2,2,2,2,2,2, ,2,30,0,0,0,40,2,3,2,3,2,2,2,1,2,2,1,2,2,2,2,2,2, ,1,1,2,1,1,1,13423,68,2,02,3
27,0518,12A172,18,40137,4,1,0,02,0,2,1,0,0,1,1,1,1,1,2,2,2,2,1,1,2,2, ,2,2,2,1,1,2,2,2,2, ,2,2,2,1,2,2,1,2,2, ,2,2,2,2,2,2,2,2,2, ,1,1,2,2,2,2,2,2,2, ,2,50,50,50,0,30,2,2,1,3,2,2,2,2,2,2,1,2,2,2,2,2,2, ,1,2,2,2,1,1,11620,50,2,04,3
27,0518,12A172,18,40137,3,1,0,02,0,0,0,0,1,1,1,1,1,1,2,2,2,2,1,2,2,2, ,2,2,2,2,2,2,1,1,2, ,2,2,2,2,2,1,2,2,2, ,2,2,2,2,2,2,2,2,2, ,1,2,2,2,2,2,2,1,2, ,2,0,700,0,50,35,2,1,4,2,2,2,2,2,2,2,1,2,2,2,2,2,2, ,1,2,2,2,2,2,11620,49,2,07,1
