cd,periodo,folio,entidad,control,viv_sel,num_hog,hog_mud,n_ren_ele,p1_1,p1_2,p1_3,p1_4,p1_5,p2_1,p2_2,p2_3,p2_4,p2_5,p3_1_1,p3_1_2,p3_1_3,p3_1_4,p3_1_5,p3_1_6,p3_1_7,p3_1_8,p3_1_8a,p3_1_9,p3_2_1,p3_2_2,p3_2_3,p3_2_4,p3_2_5,p3_2_6,p3_2_7,p3_2_8,p3_2_8a,p3_2_9,p3_3_1,p3_3_2,p3_3_3,p3_3_4,p3_3_5,p3_3_6,p3_3_7,p3_3_8,p3_3_8a,p3_3_9,p3_4_1,p3_4_2,p3_4_3,p3_4_4,p3_4_5,p3_4_6,p3_4_7,p3_4_8,p3_4_8a,p3_4_9,p3_5_1,p3_5_2,p3_5_3,p3_5_4,p3_5_5,p3_5_6,p3_5_7,p3_5_8,p3_5_8a,p3_5_9,p4_1,p4_2,p4_3,p4_4,p4_5,p5_1,p5_2,p5_3,p5_4,p5_5,p6_1,p6_2,p6_3,p6_4,p6_5,p7,p8_1,p8_2,p8_3,p8_4,p8_5,p9m,p9m_a,p10,p11_1,p11_2,p11_3,p11_4,p11_5,factor,edad,sexo,nivel,anio
01,0517,11A152,09,40182,2,1,0,01,0,0,0,0,0,1,1,2,2,1,2,2,2,2,1,1,2,2, ,2,2,2,2,2,1,1,2,2, ,2,2,2,2,2,2,2,2,2, ,1,2,2,2,2,2,2,2,2, ,1,2,2,2,2,2,1,2,2, ,2,100,50,0,0,30,3,3,4,4,3,2,2,2,2,2,1,2,2,2,2,2,2, ,1,2,2,2,1,1,13989,61,1,03,3
01,0517,12A152,09,40183,4,1,0,01,2,0,0,1,9,1,1,1,1,1,2,2,2,2,2,2,1,2, ,2,2,2,2,2,2,2,1,2, ,2,2,2,2,2,2,2,1,2, ,2,2,2,2,2,2,2,1,2, ,2,2,1,2,2,2,2,1,2, ,2,450,400,200,350,70,3,3,3,3,2,1,1,1,1,1,1,2,1,1,2,1,3, ,1,1,1,1,1,1,18124,34,1,07,4
01,0517,12A152,09,40183,2,1,1,01,2,0,0,2,6,1,1,1,1,1,2,1,1,2,2,2,2,2, ,2,2,2,1,1,2,2,2,2, ,2,2,2,2,2,2,2,2,2, ,1,2,1,1,2,2,2,2,2, ,2,2,1,2,2,2,2,2,2, ,2,300,350,200,300,35,3,3,3,3,3,1,1,1,2,2,1,2,1,1,2,1,2, ,1,2,2,2,1,1,7868,40,1,07,2
01,0517,12A152,09,40183,1,1,1,01,3,5,0,1,11,1,1,1,1,1,2,2,2,2,2,2,1,2, ,2,2,2,2,2,2,2,1,2, ,2,2,2,2,2,2,2,1,2, ,2,2,2,2,2,2,2,1,2, ,2,2,1,2,2,2,2,1,2, ,2,500,600,50,450,70,2,2,3,2,1,1,1,1,1,2,1,2,1,1,1,1,3, ,1,1,1,1,1,1,9062,25,1,04,3
01,0517,12A152,09,40183,3,1,0,01,3,0,0,0,0,1,1,1,1,1,2,1,2,2,2,2,2,2, ,2,2,2,2,1,2,2,2,2, ,2,2,1,2,2,2,2,2,2, ,2,2,1,1,2,2,2,2,2, ,2,2,1,2,2,2,2,2,2, ,2,400,400,200,450,35,3,3,3,3,3,1,1,1,1,1,1,2,2,1,2,1,1, ,1,1,2,1,1,1,16923,66,1,06,3
01,0517,12A152,09,40184,3,1,0,01,2,0,0,0,0,1,1,1,1,1,2,1,1,2,2,2,2,2, ,2,2,2,1,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2, ,1,2,1,1,2,2,2,2,2, ,2,2,1,2,2,2,2,2,2, ,2,350,99999,99999,300,40,3,3,4,3,3,1,1,1,1,2,1,2,2,2,2,1,3, ,1,1,2,1,1,1,9256,85,1,06,3
01,0517,12A152,09,40184,2,1,0,02,3,0,0,2,4,1,1,1,1,1,2,1,1,2,2,2,2,2, ,2,2,2,1,1,2,2,2,2, ,2,2,2,1,2,2,2,2,2, ,2,2,1,1,2,2,2,2,2, ,2,2,1,2,2,2,2,2,2, ,2,400,350,250,350,40,2,3,3,3,3,1,1,1,2,2,1,2,2,1,2,1,2, ,1,1,2,1,1,1,23568,64,1,07,4
01,0517,12A152,09,40184,4,1,0,01,3,2,1,3,7,1,1,1,1,1,2,1,1,1,2,2,2,2, ,2,2,1,1,1,2,2,2,2, ,2,2,1,2,2,2,2,2,2, ,2,2,1,1,2,2,2,2,2, ,2,2,1,2,2,2,2,2,2, ,2,450,500,250,350,70,2,3,3,2,2,1,1,1,1,1,1,2,1,1,2,1,3, ,1,1,1,1,1,1,12875,61,2,07,4
01,0517,12A152,09,40184,1,1,0,02,2,0,0,0,6,1,1,1,1,1,2,1,2,2,2,2,2,2, ,2,2,2,1,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2, ,1,2,1,1,2,2,2,2,2, ,2,1,1,2,2,2,2,2,2, ,2,300,350,180,250,60,3,3,3,3,2,2,1,1,2,2,1,2,2,1,2,1,2, ,1,1,2,1,1,1,20048,45,2,07,4
01,0517,11A152,09,40185,4,1,0,02,0,0,0,0,0,2,2,2,2,1,2,2,2,2,2,2,2,2, ,1,2,2,2,2,2,2,2,2, ,1,2,2,2,2,2,2,2,2, ,1,2,2,2,2,2,2,2,2, ,1,2,2,2,1,1,2,2,2, ,2,0,0,0,0,30,4,4,4,4,3,2,2,2,2,2,1,2,1,2,2,1,4, ,2,0,0,0,0,0,16249,37,2,03,2
