upm,viv_sel,hogar,n_ren,pmvi_1,pmvi_2,pmvi_3,pm1_1,pm1_2,pm1_3,pm1_4,pm1_5_1,pm1_5_2,pm1_5_3,pm1_5_4,pm1_6_1,pm1_6_2,pm1_6_3,pm1_6_4,pm1_6_5,pm1_6_6,pm1_6_7,pm1_6_8,pm1_6_9,pm8_1_1,pm8_1_2,pm8_1_3,pm8_1_4,pm8_1_5,pm8_1_6,pm8_1_7,pm8_2,pm8_3,pm8_4_1,pm8_5_1_1,pm8_5_1_4,pm8_5_1_5,pm8_5_1_6,pm8_4_2,pm8_5_2_1,pm8_5_2_4,pm8_5_2_5,pm8_5_2_6,pm8_4_3,pm8_5_3_1,pm8_5_3_4,pm8_5_3_5,pm8_5_3_6,pm8_4_4,pm8_5_4_1,pm8_5_4_4,pm8_5_4_5,pm8_5_4_6,pm8_4_5,pm8_5_5_1,pm8_5_5_4,pm8_5_5_5,pm8_5_5_6,pm8_6_01,pm8_6_02,pm8_6_03,pm8_6_04,pm8_6_05,pm8_6_06,pm8_6_07,pm8_6_08,pm8_6_09,pm8_6_10,pm8_7_1,pm8_7_2,pm8_7_3,pm8_7_4,pm8_7_5,pm8_7_6,pm8_7_7,pm8_7_8,factor_per,upm_dis,est_dis,tloc,estrato,ent,sexo,edad
206072,2,1,4,1,2,,3,6,6,1,2,2,2,2,0,0,0,0,0,0,0,1,0,2,2,2,2,2,2,2,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,633,330,9,1,1,2,2,25
206201,1,1,2,1,2,,3,1,2,1,2,1,1,2,0,0,0,0,1,0,0,0,0,2,2,2,2,,1,2,5,4,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,655,334,9,1,2,2,2,62
206201,3,1,1,1,1,,4,7,4,1,1,2,1,2,0,0,0,0,0,0,1,0,0,2,2,1,2,2,1,2,5,4,2,,,,,1,2,2,,1,2,,,,,2,,,,,2,,,,,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,4331,334,9,1,2,2,1,31
206226,4,1,2,1,1,,1,5,1,1,2,2,1,1,0,0,0,0,0,0,0,1,0,2,2,2,2,,2,2,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,734,335,10,1,3,2,1,51
206242,4,1,1,1,1,,3,6,3,1,2,2,1,2,0,0,0,0,0,0,0,1,0,2,2,2,1,,2,2,5,6,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,1,2,1,1,2,2,2,1,2,3,2,2,2,2,2,2,2,459,337,11,1,4,2,1,62
206242,4,1,2,1,1,,3,7,4,1,2,2,1,1,0,0,0,0,0,0,0,1,0,2,2,2,2,,2,2,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,459,337,11,1,4,2,2,58
206686,3,1,1,,,,3,4,7,1,1,2,1,1,0,0,0,0,0,0,0,1,0,2,2,2,3,,2,2,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,347,346,11,1,4,2,2,39
206763,1,1,1,1,2,,2,5,4,1,2,2,1,2,0,0,0,0,0,0,0,0,1,2,2,2,3,,1,2,5,4,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,3,2,364,349,11,1,4,2,2,59
206787,3,1,1,,,,3,1,1,1,2,2,2,2,0,0,0,0,0,0,0,1,0,1,3,2,2,2,2,2,5,3,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,1,2,2,3,2,2,2,2,360,351,11,1,4,2,1,31
206787,3,1,3,1,2,,3,5,4,2,2,2,1,2,0,0,0,0,0,0,0,1,0,2,2,1,2,1,2,1,5,3,1,2,2,,1,1,2,2,,1,2,,,,,2,,,,,2,,,,,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,398,351,11,1,4,2,1,26
